Model,AUC-ROC,Precision,Recall,F1 Score,Brier,Log Loss
Logistic Regression,0.405,0.125,0.3333,0.1818,0.2563,0.6977
Random Forest,0.3369,0.0,0.0,0.0,0.2026,0.6183
XGBoost,0.4409,0.1111,0.1111,0.1111,0.2378,0.693
